src,dst,type,state
"{'port': '1', 'device': 'of:0000000000000014'}","{'port': '4', 'device': 'of:0000000000000008'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000015'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000012'}","{'port': '2', 'device': 'of:0000000000000008'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:0000000000000007'}",DIRECT,ACTIVE
"{'port': '5', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000017'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000001d'}","{'port': '7', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '7', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000019'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000001b'}","{'port': '5', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000006'}","{'port': '1', 'device': 'of:000000000000000c'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000000b'}","{'port': '4', 'device': 'of:0000000000000005'}",DIRECT,ACTIVE
"{'port': '5', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:000000000000001b'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000006'}","{'port': '1', 'device': 'of:000000000000000e'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000019'}","{'port': '7', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '7', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:000000000000001d'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000017'}","{'port': '5', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000028'}","{'port': '7', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000007'}","{'port': '1', 'device': 'of:0000000000000010'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000006'}","{'port': '3', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000015'}","{'port': '3', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000026'}","{'port': '5', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '5', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:0000000000000020'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000024'}","{'port': '3', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000004'}","{'port': '1', 'device': 'of:0000000000000024'}",DIRECT,ACTIVE
"{'port': '7', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:0000000000000022'}",DIRECT,ACTIVE
"{'port': '5', 'device': 'of:0000000000000004'}","{'port': '1', 'device': 'of:0000000000000026'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000010'}","{'port': '3', 'device': 'of:0000000000000007'}",DIRECT,ACTIVE
"{'port': '7', 'device': 'of:0000000000000004'}","{'port': '1', 'device': 'of:0000000000000028'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000000e'}","{'port': '4', 'device': 'of:0000000000000006'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000005'}","{'port': '1', 'device': 'of:000000000000000b'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000000c'}","{'port': '2', 'device': 'of:0000000000000006'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000007'}","{'port': '3', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000008'}","{'port': '1', 'device': 'of:0000000000000012'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000022'}","{'port': '7', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000008'}","{'port': '1', 'device': 'of:0000000000000014'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000020'}","{'port': '5', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000004'}","{'port': '1', 'device': 'of:0000000000000008'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000013'}","{'port': '3', 'device': 'of:0000000000000008'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000016'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000001e'}","{'port': '8', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '6', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000018'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000001c'}","{'port': '6', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000001a'}","{'port': '4', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:000000000000001a'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000000f'}","{'port': '2', 'device': 'of:0000000000000007'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000006'}","{'port': '1', 'device': 'of:000000000000000d'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000000a'}","{'port': '3', 'device': 'of:0000000000000005'}",DIRECT,ACTIVE
"{'port': '6', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:000000000000001c'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000018'}","{'port': '6', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '8', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:000000000000001e'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000016'}","{'port': '4', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000027'}","{'port': '6', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000008'}","{'port': '2', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000007'}","{'port': '1', 'device': 'of:0000000000000011'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000025'}","{'port': '4', 'device': 'of:0000000000000004'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000003'}","{'port': '2', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '6', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:0000000000000021'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000002'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000004'}","{'port': '1', 'device': 'of:0000000000000025'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '8', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:0000000000000023'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000011'}","{'port': '4', 'device': 'of:0000000000000007'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000001'}","{'port': '1', 'device': 'of:0000000000000005'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000005'}","{'port': '1', 'device': 'of:0000000000000009'}",DIRECT,ACTIVE
"{'port': '6', 'device': 'of:0000000000000004'}","{'port': '1', 'device': 'of:0000000000000027'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000002'}","{'port': '1', 'device': 'of:0000000000000006'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000001f'}","{'port': '4', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000005'}","{'port': '1', 'device': 'of:000000000000000a'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:000000000000000d'}","{'port': '3', 'device': 'of:0000000000000006'}",DIRECT,ACTIVE
"{'port': '2', 'device': 'of:0000000000000007'}","{'port': '1', 'device': 'of:000000000000000f'}",DIRECT,ACTIVE
"{'port': '4', 'device': 'of:0000000000000003'}","{'port': '1', 'device': 'of:000000000000001f'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000009'}","{'port': '2', 'device': 'of:0000000000000005'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000005'}","{'port': '2', 'device': 'of:0000000000000001'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000023'}","{'port': '8', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '3', 'device': 'of:0000000000000008'}","{'port': '1', 'device': 'of:0000000000000013'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000004'}","{'port': '2', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
"{'port': '1', 'device': 'of:0000000000000021'}","{'port': '6', 'device': 'of:0000000000000003'}",DIRECT,ACTIVE
