src_device,src_port,dst_device,dst_port,total_packets,total_packets_dst,total_bytes,total_bytes_dst,error_rate,error_rate_dst,timestamp
of:0000000000000014,1,of:0000000000000008,4,40684824616,40684815683,901204965212234,901204769456448,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,2,of:0000000000000004,1,169064843006,169064876622,3746922365417846,3746923113698326,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,3,of:0000000000000015,1,88240628739,88240583515,1957121031685903,1957119984909623,0.0,0.0,2024-07-16 11:13:42
of:0000000000000012,1,of:0000000000000008,2,1334008,1334008,186256202,186256202,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,3,of:0000000000000007,1,85827653284,85827672732,1904495901423036,1904496327641276,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,5,of:0000000000000017,1,95148688341,95148682057,2115947784507810,2115947646795522,0.0,0.0,2024-07-16 11:13:42
of:000000000000001d,1,of:0000000000000002,7,1334269,1334269,186272122,186272122,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,7,of:0000000000000019,1,45022737188,45022726746,998450432948256,998450204128644,0.0,0.0,2024-07-16 11:13:42
of:000000000000001b,1,of:0000000000000002,5,1334369,1334369,186276518,186276518,0.0,0.0,2024-07-16 11:13:42
of:0000000000000006,2,of:000000000000000c,1,88114297461,88114273650,1954630989562382,1954630443713496,0.0,0.0,2024-07-16 11:13:42
of:000000000000000b,1,of:0000000000000005,4,91287674188,91287663437,2030983068196494,2030982832671064,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,5,of:000000000000001b,1,1334369,1334369,186276518,186276518,0.0,0.0,2024-07-16 11:13:42
of:0000000000000006,4,of:000000000000000e,1,1334433,1334433,187566786,187566786,0.0,0.0,2024-07-16 11:13:42
of:0000000000000019,1,of:0000000000000001,7,45022726746,45022737188,998450204128644,998450432948256,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,7,of:000000000000001d,1,1334269,1334269,186272122,186272122,0.0,0.0,2024-07-16 11:13:42
of:0000000000000017,1,of:0000000000000001,5,95148682057,95148688341,2115947646795522,2115947784507810,0.0,0.0,2024-07-16 11:13:42
of:0000000000000028,1,of:0000000000000004,7,1334976,1334976,186319762,186319762,0.0,0.0,2024-07-16 11:13:42
of:0000000000000007,3,of:0000000000000010,1,1333838,1333838,186243788,186243788,0.0,0.0,2024-07-16 11:13:42
of:0000000000000006,1,of:0000000000000002,3,175778152683,175778226717,3897524530719820,3897526245963792,0.0,0.0,2024-07-16 11:13:42
of:0000000000000015,1,of:0000000000000001,3,88240583515,88240628739,1957119984909623,1957121031685903,0.0,0.0,2024-07-16 11:13:42
of:0000000000000026,1,of:0000000000000004,5,45116588707,45116597133,1001496540326808,1001496724973172,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,5,of:0000000000000020,1,1334839,1334839,186310840,186310840,0.0,0.0,2024-07-16 11:13:42
of:0000000000000024,1,of:0000000000000004,3,42643781325,42643794036,944443500252640,944443779029366,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,3,of:0000000000000024,1,42643794036,42643781325,944443779029366,944443500252640,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,7,of:0000000000000022,1,1334882,1334882,186312814,186312814,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,5,of:0000000000000026,1,45116597133,45116588707,1001496724973172,1001496540326808,0.0,0.0,2024-07-16 11:13:42
of:0000000000000010,1,of:0000000000000007,3,1333838,1333838,186243788,186243788,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,7,of:0000000000000028,1,1334976,1334976,186319762,186319762,0.0,0.0,2024-07-16 11:13:42
of:000000000000000e,1,of:0000000000000006,4,1334433,1334433,187566786,187566786,0.0,0.0,2024-07-16 11:13:42
of:0000000000000005,4,of:000000000000000b,1,91287663437,91287674188,2030982832671064,2030983068196494,0.0,0.0,2024-07-16 11:13:42
of:000000000000000c,1,of:0000000000000006,2,88114273650,88114297461,1954630443713496,1954630989562382,0.0,0.0,2024-07-16 11:13:42
of:0000000000000007,1,of:0000000000000003,3,85827672732,85827653284,1904496327641276,1904495901423036,0.0,0.0,2024-07-16 11:13:42
of:0000000000000008,2,of:0000000000000012,1,1334008,1334008,186256202,186256202,0.0,0.0,2024-07-16 11:13:42
of:0000000000000022,1,of:0000000000000003,7,1334882,1334882,186312814,186312814,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,1,of:0000000000000001,1,209928179462,209928131182,4653614550996733,4653613455848237,0.0,0.0,2024-07-16 11:13:42
of:0000000000000008,4,of:0000000000000014,1,40684815683,40684824616,901204769456448,901204965212234,0.0,0.0,2024-07-16 11:13:42
of:0000000000000020,1,of:0000000000000003,5,1334839,1334839,186310840,186310840,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,2,of:0000000000000008,1,81307147574,81307119904,1800982981947690,1800982359692534,0.0,0.0,2024-07-16 11:13:42
of:0000000000000013,1,of:0000000000000008,3,40623650044,40623636308,899778089230358,899777777027782,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,4,of:0000000000000016,1,88399480622,88399448138,1965257271182036,1965256550369564,0.0,0.0,2024-07-16 11:13:42
of:000000000000001e,1,of:0000000000000002,8,1334322,1334322,186274320,186274320,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,6,of:0000000000000018,1,95020628183,95020598675,2112829312795534,2112828666300318,0.0,0.0,2024-07-16 11:13:42
of:000000000000001c,1,of:0000000000000002,6,1334331,1334331,186274922,186274922,0.0,0.0,2024-07-16 11:13:42
of:000000000000001a,1,of:0000000000000002,4,1334302,1334302,186273536,186273536,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,4,of:000000000000001a,1,1334302,1334302,186273536,186273536,0.0,0.0,2024-07-16 11:13:42
of:000000000000000f,1,of:0000000000000007,2,85827638318,85827669756,1904495639281232,1904496328108260,0.0,0.0,2024-07-16 11:13:42
of:0000000000000006,3,of:000000000000000d,1,87665189818,87665157739,1942893726607468,1942892998350622,0.0,0.0,2024-07-16 11:13:42
of:000000000000000a,1,of:0000000000000005,3,142617917676,142617924943,3170776562672806,3170776721945028,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,6,of:000000000000001c,1,1334331,1334331,186274922,186274922,0.0,0.0,2024-07-16 11:13:42
of:0000000000000018,1,of:0000000000000001,6,95020598675,95020628183,2112828666300318,2112829312795534,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,8,of:000000000000001e,1,1334322,1334322,186274320,186274320,0.0,0.0,2024-07-16 11:13:42
of:0000000000000016,1,of:0000000000000001,4,88399448138,88399480622,1965256550369564,1965257271182036,0.0,0.0,2024-07-16 11:13:42
of:0000000000000027,1,of:0000000000000004,6,1335021,1335021,186321540,186321540,0.0,0.0,2024-07-16 11:13:42
of:0000000000000008,1,of:0000000000000004,2,81307119904,81307147574,1800982359692534,1800982981947690,0.0,0.0,2024-07-16 11:13:42
of:0000000000000007,4,of:0000000000000011,1,1334915,1334915,186314558,186314558,0.0,0.0,2024-07-16 11:13:42
of:0000000000000025,1,of:0000000000000004,4,1334962,1334962,186319286,186319286,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,1,of:0000000000000002,2,209885126312,209885241646,4651875627591128,4651878197071324,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,6,of:0000000000000021,1,1334853,1334853,186311372,186311372,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,1,of:0000000000000002,1,209928131182,209928179462,4653613455848237,4653614550996733,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,4,of:0000000000000025,1,1334962,1334962,186319286,186319286,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,2,of:0000000000000003,1,209885241646,209885126312,4651878197071324,4651875627591128,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,8,of:0000000000000023,1,1334866,1334866,186312198,186312198,0.0,0.0,2024-07-16 11:13:42
of:0000000000000011,1,of:0000000000000007,4,1334915,1334915,186314558,186314558,0.0,0.0,2024-07-16 11:13:42
of:0000000000000001,2,of:0000000000000005,1,369099176189,369099037261,8204351905294686,8204348773532502,0.0,0.0,2024-07-16 11:13:42
of:0000000000000005,2,of:0000000000000009,1,236346663886,236346682801,5258556476179886,5258556890697540,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,6,of:0000000000000027,1,1335021,1335021,186321540,186321540,0.0,0.0,2024-07-16 11:13:42
of:0000000000000002,3,of:0000000000000006,1,175778226717,175778152683,3897526245963792,3897524530719820,0.0,0.0,2024-07-16 11:13:42
of:000000000000001f,1,of:0000000000000003,4,45225797669,45225808342,1003450259022312,1003450504569226,0.0,0.0,2024-07-16 11:13:42
of:0000000000000005,3,of:000000000000000a,1,142617924943,142617917676,3170776721945028,3170776562672806,0.0,0.0,2024-07-16 11:13:42
of:000000000000000d,1,of:0000000000000006,3,87665157739,87665189818,1942892998350622,1942893726607468,0.0,0.0,2024-07-16 11:13:42
of:0000000000000007,2,of:000000000000000f,1,85827669756,85827638318,1904496328108260,1904495639281232,0.0,0.0,2024-07-16 11:13:42
of:0000000000000003,4,of:000000000000001f,1,45225808342,45225797669,1003450504569226,1003450259022312,0.0,0.0,2024-07-16 11:13:42
of:0000000000000009,1,of:0000000000000005,2,236346682801,236346663886,5258556890697540,5258556476179886,0.0,0.0,2024-07-16 11:13:42
of:0000000000000005,1,of:0000000000000001,2,369099037261,369099176189,8204348773532502,8204351905294686,0.0,0.0,2024-07-16 11:13:42
of:0000000000000023,1,of:0000000000000003,8,1334866,1334866,186312198,186312198,0.0,0.0,2024-07-16 11:13:42
of:0000000000000008,3,of:0000000000000013,1,40623636308,40623650044,899777777027782,899778089230358,0.0,0.0,2024-07-16 11:13:42
of:0000000000000004,1,of:0000000000000003,2,169064876622,169064843006,3746923113698326,3746922365417846,0.0,0.0,2024-07-16 11:13:42
of:0000000000000021,1,of:0000000000000003,6,1334853,1334853,186311372,186311372,0.0,0.0,2024-07-16 11:13:42
